Run,Top_K,Boruta_Features,DODA_Features,Common_Feature_Count,Boruta_Feature_Count,DODA_Feature_Count,Same_Feature_Set,Jaccard_Agreement,Features_Added_by_DODA,Features_Removed_by_DODA
23,15,"area error, concavity error, mean area, mean compactness, mean concave points, mean concavity, mean perimeter, mean radius, mean smoothness, mean texture, perimeter error, radius error, worst area, worst compactness, worst concave points","mean area, mean compactness, mean concave points, mean concavity, mean perimeter, mean radius, mean texture, worst area, worst compactness, worst concave points, worst concavity, worst perimeter, worst radius, worst symmetry, worst texture",10,15,15,False,0.5,"worst concavity, worst perimeter, worst radius, worst symmetry, worst texture","area error, concavity error, mean smoothness, perimeter error, radius error"
23,20,"area error, concavity error, mean area, mean compactness, mean concave points, mean concavity, mean perimeter, mean radius, mean smoothness, mean texture, perimeter error, radius error, worst area, worst compactness, worst concave points, worst concavity, worst fractal dimension, worst perimeter, worst radius, worst smoothness","area error, mean area, mean compactness, mean concave points, mean concavity, mean perimeter, mean radius, mean smoothness, mean texture, perimeter error, radius error, worst area, worst compactness, worst concave points, worst concavity, worst perimeter, worst radius, worst smoothness, worst symmetry, worst texture",18,20,20,False,0.8181818181818182,"worst symmetry, worst texture","concavity error, worst fractal dimension"
24,5,"area error, concave points error, concavity error, mean area, mean compactness","worst area, worst concave points, worst concavity, worst perimeter, worst radius",0,5,5,False,0.0,"worst area, worst concave points, worst concavity, worst perimeter, worst radius","area error, concave points error, concavity error, mean area, mean compactness"
24,10,"area error, concave points error, concavity error, mean area, mean compactness, mean concave points, mean concavity, mean perimeter, mean radius, mean smoothness","mean area, mean concave points, mean concavity, mean perimeter, mean radius, worst area, worst concave points, worst concavity, worst perimeter, worst radius",5,10,10,False,0.3333333333333333,"worst area, worst concave points, worst concavity, worst perimeter, worst radius","area error, concave points error, concavity error, mean compactness, mean smoothness"
24,15,"area error, concave points error, concavity error, mean area, mean compactness, mean concave points, mean concavity, mean perimeter, mean radius, mean smoothness, mean texture, perimeter error, radius error, worst area, worst compactness","mean area, mean compactness, mean concave points, mean concavity, mean perimeter, mean radius, mean texture, worst area, worst compactness, worst concave points, worst concavity, worst perimeter, worst radius, worst symmetry, worst texture",9,15,15,False,0.42857142857142855,"worst concave points, worst concavity, worst perimeter, worst radius, worst symmetry, worst texture","area error, concave points error, concavity error, mean smoothness, perimeter error, radius error"
24,20,"area error, concave points error, concavity error, mean area, mean compactness, mean concave points, mean concavity, mean perimeter, mean radius, mean smoothness, mean texture, perimeter error, radius error, worst area, worst compactness, worst concave points, worst concavity, worst fractal dimension, worst perimeter, worst radius","area error, mean area, mean compactness, mean concave points, mean concavity, mean perimeter, mean radius, mean smoothness, mean texture, perimeter error, radius error, worst area, worst compactness, worst concave points, worst concavity, worst perimeter, worst radius, worst smoothness, worst symmetry, worst texture",17,20,20,False,0.7391304347826086,"worst smoothness, worst symmetry, worst texture","concave points error, concavity error, worst fractal dimension"
25,5,"area error, concavity error, mean area, mean compactness, mean concave points","worst area, worst concave points, worst concavity, worst perimeter, worst radius",0,5,5,False,0.0,"worst area, worst concave points, worst concavity, worst perimeter, worst radius","area error, concavity error, mean area, mean compactness, mean concave points"
25,10,"area error, concavity error, mean area, mean compactness, mean concave points, mean concavity, mean perimeter, mean radius, mean texture, perimeter error","mean area, mean concave points, mean concavity, mean perimeter, mean radius, worst area, worst concave points, worst concavity, worst perimeter, worst radius",5,10,10,False,0.3333333333333333,"worst area, worst concave points, worst concavity, worst perimeter, worst radius","area error, concavity error, mean compactness, mean texture, perimeter error"
25,15,"area error, concavity error, mean area, mean compactness, mean concave points, mean concavity, mean perimeter, mean radius, mean texture, perimeter error, radius error, worst area, worst compactness, worst concave points, worst concavity","mean area, mean compactness, mean concave points, mean concavity, mean perimeter, mean radius, mean texture, worst area, worst compactness, worst concave points, worst concavity, worst perimeter, worst radius, worst symmetry, worst texture",11,15,15,False,0.5789473684210527,"worst perimeter, worst radius, worst symmetry, worst texture","area error, concavity error, perimeter error, radius error"
25,20,"area error, concavity error, mean area, mean compactness, mean concave points, mean concavity, mean perimeter, mean radius, mean texture, perimeter error, radius error, worst area, worst compactness, worst concave points, worst concavity, worst fractal dimension, worst perimeter, worst radius, worst smoothness, worst symmetry","area error, concavity error, mean area, mean compactness, mean concave points, mean concavity, mean perimeter, mean radius, mean texture, perimeter error, radius error, worst area, worst compactness, worst concave points, worst concavity, worst perimeter, worst radius, worst smoothness, worst symmetry, worst texture",19,20,20,False,0.9047619047619048,worst texture,worst fractal dimension
