Run,Top_K,ANOVA_Features,DODA_Features,Common_Feature_Count,ANOVA_Feature_Count,DODA_Feature_Count,Same_Feature_Set,Jaccard_Agreement,Features_Added_by_DODA,Features_Removed_by_DODA
3,15,"area error, mean area, mean compactness, mean concave points, mean concavity, mean perimeter, mean radius, perimeter error, radius error, worst area, worst compactness, worst concave points, worst concavity, worst perimeter, worst radius","area error, mean area, mean compactness, mean concave points, mean concavity, mean perimeter, mean radius, perimeter error, radius error, worst area, worst compactness, worst concave points, worst concavity, worst perimeter, worst radius",15,15,15,True,1.0,,
3,20,"area error, concave points error, mean area, mean compactness, mean concave points, mean concavity, mean perimeter, mean radius, mean texture, perimeter error, radius error, worst area, worst compactness, worst concave points, worst concavity, worst perimeter, worst radius, worst smoothness, worst symmetry, worst texture","area error, concave points error, mean area, mean compactness, mean concave points, mean concavity, mean perimeter, mean radius, mean texture, perimeter error, radius error, worst area, worst compactness, worst concave points, worst concavity, worst perimeter, worst radius, worst smoothness, worst symmetry, worst texture",20,20,20,True,1.0,,
4,5,"mean concave points, mean perimeter, worst concave points, worst perimeter, worst radius","mean concave points, mean perimeter, worst concave points, worst perimeter, worst radius",5,5,5,True,1.0,,
4,10,"mean area, mean concave points, mean concavity, mean perimeter, mean radius, worst area, worst concave points, worst concavity, worst perimeter, worst radius","mean area, mean concave points, mean concavity, mean perimeter, mean radius, worst area, worst concave points, worst concavity, worst perimeter, worst radius",10,10,10,True,1.0,,
4,15,"area error, mean area, mean compactness, mean concave points, mean concavity, mean perimeter, mean radius, perimeter error, radius error, worst area, worst compactness, worst concave points, worst concavity, worst perimeter, worst radius","area error, mean area, mean compactness, mean concave points, mean concavity, mean perimeter, mean radius, perimeter error, radius error, worst area, worst compactness, worst concave points, worst concavity, worst perimeter, worst radius",15,15,15,True,1.0,,
4,20,"area error, concave points error, mean area, mean compactness, mean concave points, mean concavity, mean perimeter, mean radius, mean texture, perimeter error, radius error, worst area, worst compactness, worst concave points, worst concavity, worst perimeter, worst radius, worst smoothness, worst symmetry, worst texture","area error, concave points error, mean area, mean compactness, mean concave points, mean concavity, mean perimeter, mean radius, mean texture, perimeter error, radius error, worst area, worst compactness, worst concave points, worst concavity, worst perimeter, worst radius, worst smoothness, worst symmetry, worst texture",20,20,20,True,1.0,,
5,5,"mean concave points, worst area, worst concave points, worst perimeter, worst radius","mean concave points, worst area, worst concave points, worst perimeter, worst radius",5,5,5,True,1.0,,
5,10,"mean area, mean concave points, mean concavity, mean perimeter, mean radius, worst area, worst concave points, worst concavity, worst perimeter, worst radius","mean area, mean concave points, mean concavity, mean perimeter, mean radius, worst area, worst concave points, worst concavity, worst perimeter, worst radius",10,10,10,True,1.0,,
5,15,"area error, mean area, mean compactness, mean concave points, mean concavity, mean perimeter, mean radius, perimeter error, radius error, worst area, worst compactness, worst concave points, worst concavity, worst perimeter, worst radius","area error, mean area, mean compactness, mean concave points, mean concavity, mean perimeter, mean radius, perimeter error, radius error, worst area, worst compactness, worst concave points, worst concavity, worst perimeter, worst radius",15,15,15,True,1.0,,
5,20,"area error, concave points error, mean area, mean compactness, mean concave points, mean concavity, mean perimeter, mean radius, mean texture, perimeter error, radius error, worst area, worst compactness, worst concave points, worst concavity, worst perimeter, worst radius, worst smoothness, worst symmetry, worst texture","area error, concave points error, mean area, mean compactness, mean concave points, mean concavity, mean perimeter, mean radius, mean texture, perimeter error, radius error, worst area, worst compactness, worst concave points, worst concavity, worst perimeter, worst radius, worst smoothness, worst symmetry, worst texture",20,20,20,True,1.0,,
6,5,"mean concave points, mean perimeter, worst concave points, worst perimeter, worst radius","mean concave points, worst area, worst concave points, worst perimeter, worst radius",4,5,5,False,0.6666666666666666,worst area,mean perimeter
6,10,"mean area, mean concave points, mean concavity, mean perimeter, mean radius, worst area, worst concave points, worst concavity, worst perimeter, worst radius","mean area, mean concave points, mean concavity, mean perimeter, mean radius, worst area, worst concave points, worst concavity, worst perimeter, worst radius",10,10,10,True,1.0,,
6,15,"area error, mean area, mean compactness, mean concave points, mean concavity, mean perimeter, mean radius, perimeter error, radius error, worst area, worst compactness, worst concave points, worst concavity, worst perimeter, worst radius","area error, mean area, mean compactness, mean concave points, mean concavity, mean perimeter, mean radius, perimeter error, radius error, worst area, worst compactness, worst concave points, worst concavity, worst perimeter, worst radius",15,15,15,True,1.0,,
6,20,"area error, concave points error, mean area, mean compactness, mean concave points, mean concavity, mean perimeter, mean radius, mean texture, perimeter error, radius error, worst area, worst compactness, worst concave points, worst concavity, worst perimeter, worst radius, worst smoothness, worst symmetry, worst texture","area error, concave points error, mean area, mean compactness, mean concave points, mean concavity, mean perimeter, mean radius, mean texture, perimeter error, radius error, worst area, worst compactness, worst concave points, worst concavity, worst perimeter, worst radius, worst smoothness, worst symmetry, worst texture",20,20,20,True,1.0,,
7,5,"mean concave points, mean perimeter, worst concave points, worst perimeter, worst radius","mean concave points, worst area, worst concave points, worst perimeter, worst radius",4,5,5,False,0.6666666666666666,worst area,mean perimeter
7,10,"mean area, mean concave points, mean concavity, mean perimeter, mean radius, worst area, worst concave points, worst concavity, worst perimeter, worst radius","mean area, mean concave points, mean concavity, mean perimeter, mean radius, worst area, worst concave points, worst concavity, worst perimeter, worst radius",10,10,10,True,1.0,,
7,15,"area error, mean area, mean compactness, mean concave points, mean concavity, mean perimeter, mean radius, perimeter error, radius error, worst area, worst compactness, worst concave points, worst concavity, worst perimeter, worst radius","area error, mean area, mean compactness, mean concave points, mean concavity, mean perimeter, mean radius, perimeter error, radius error, worst area, worst compactness, worst concave points, worst concavity, worst perimeter, worst radius",15,15,15,True,1.0,,
7,20,"area error, mean area, mean compactness, mean concave points, mean concavity, mean perimeter, mean radius, mean smoothness, mean texture, perimeter error, radius error, worst area, worst compactness, worst concave points, worst concavity, worst perimeter, worst radius, worst smoothness, worst symmetry, worst texture","area error, mean area, mean compactness, mean concave points, mean concavity, mean perimeter, mean radius, mean smoothness, mean texture, perimeter error, radius error, worst area, worst compactness, worst concave points, worst concavity, worst perimeter, worst radius, worst smoothness, worst symmetry, worst texture",20,20,20,True,1.0,,
8,5,"mean concave points, mean perimeter, worst concave points, worst perimeter, worst radius","mean concave points, worst area, worst concave points, worst perimeter, worst radius",4,5,5,False,0.6666666666666666,worst area,mean perimeter
8,10,"mean area, mean concave points, mean concavity, mean perimeter, mean radius, worst area, worst concave points, worst concavity, worst perimeter, worst radius","mean area, mean concave points, mean concavity, mean perimeter, mean radius, worst area, worst concave points, worst concavity, worst perimeter, worst radius",10,10,10,True,1.0,,
8,15,"area error, mean area, mean compactness, mean concave points, mean concavity, mean perimeter, mean radius, perimeter error, radius error, worst area, worst compactness, worst concave points, worst concavity, worst perimeter, worst radius","area error, mean area, mean compactness, mean concave points, mean concavity, mean perimeter, mean radius, perimeter error, radius error, worst area, worst compactness, worst concave points, worst concavity, worst perimeter, worst radius",15,15,15,True,1.0,,
8,20,"area error, concave points error, mean area, mean compactness, mean concave points, mean concavity, mean perimeter, mean radius, mean texture, perimeter error, radius error, worst area, worst compactness, worst concave points, worst concavity, worst perimeter, worst radius, worst smoothness, worst symmetry, worst texture","area error, concave points error, mean area, mean compactness, mean concave points, mean concavity, mean perimeter, mean radius, mean texture, perimeter error, radius error, worst area, worst compactness, worst concave points, worst concavity, worst perimeter, worst radius, worst smoothness, worst symmetry, worst texture",20,20,20,True,1.0,,
9,5,"mean concave points, mean perimeter, worst concave points, worst perimeter, worst radius","mean concave points, worst area, worst concave points, worst perimeter, worst radius",4,5,5,False,0.6666666666666666,worst area,mean perimeter
9,10,"mean area, mean concave points, mean concavity, mean perimeter, mean radius, worst area, worst concave points, worst concavity, worst perimeter, worst radius","mean area, mean concave points, mean concavity, mean perimeter, mean radius, worst area, worst concave points, worst concavity, worst perimeter, worst radius",10,10,10,True,1.0,,
9,15,"area error, mean area, mean compactness, mean concave points, mean concavity, mean perimeter, mean radius, perimeter error, radius error, worst area, worst compactness, worst concave points, worst concavity, worst perimeter, worst radius","area error, mean area, mean compactness, mean concave points, mean concavity, mean perimeter, mean radius, perimeter error, radius error, worst area, worst compactness, worst concave points, worst concavity, worst perimeter, worst radius",15,15,15,True,1.0,,
9,20,"area error, concave points error, mean area, mean compactness, mean concave points, mean concavity, mean perimeter, mean radius, mean texture, perimeter error, radius error, worst area, worst compactness, worst concave points, worst concavity, worst perimeter, worst radius, worst smoothness, worst symmetry, worst texture","area error, concave points error, mean area, mean compactness, mean concave points, mean concavity, mean perimeter, mean radius, mean texture, perimeter error, radius error, worst area, worst compactness, worst concave points, worst concavity, worst perimeter, worst radius, worst smoothness, worst symmetry, worst texture",20,20,20,True,1.0,,
10,5,"mean concave points, mean perimeter, worst concave points, worst perimeter, worst radius","mean concave points, worst area, worst concave points, worst perimeter, worst radius",4,5,5,False,0.6666666666666666,worst area,mean perimeter
10,10,"mean area, mean concave points, mean concavity, mean perimeter, mean radius, worst area, worst concave points, worst concavity, worst perimeter, worst radius","mean area, mean concave points, mean concavity, mean perimeter, mean radius, worst area, worst concave points, worst concavity, worst perimeter, worst radius",10,10,10,True,1.0,,
10,15,"area error, mean area, mean compactness, mean concave points, mean concavity, mean perimeter, mean radius, perimeter error, radius error, worst area, worst compactness, worst concave points, worst concavity, worst perimeter, worst radius","area error, mean area, mean compactness, mean concave points, mean concavity, mean perimeter, mean radius, perimeter error, radius error, worst area, worst compactness, worst concave points, worst concavity, worst perimeter, worst radius",15,15,15,True,1.0,,
10,20,"area error, concave points error, mean area, mean compactness, mean concave points, mean concavity, mean perimeter, mean radius, mean texture, perimeter error, radius error, worst area, worst compactness, worst concave points, worst concavity, worst perimeter, worst radius, worst smoothness, worst symmetry, worst texture","area error, concave points error, mean area, mean compactness, mean concave points, mean concavity, mean perimeter, mean radius, mean texture, perimeter error, radius error, worst area, worst compactness, worst concave points, worst concavity, worst perimeter, worst radius, worst smoothness, worst symmetry, worst texture",20,20,20,True,1.0,,
11,5,"mean concave points, mean perimeter, worst concave points, worst perimeter, worst radius","mean concave points, mean perimeter, worst concave points, worst perimeter, worst radius",5,5,5,True,1.0,,
11,10,"mean area, mean concave points, mean concavity, mean perimeter, mean radius, worst area, worst concave points, worst concavity, worst perimeter, worst radius","mean area, mean concave points, mean concavity, mean perimeter, mean radius, worst area, worst concave points, worst concavity, worst perimeter, worst radius",10,10,10,True,1.0,,
11,15,"area error, mean area, mean compactness, mean concave points, mean concavity, mean perimeter, mean radius, perimeter error, radius error, worst area, worst compactness, worst concave points, worst concavity, worst perimeter, worst radius","area error, mean area, mean compactness, mean concave points, mean concavity, mean perimeter, mean radius, perimeter error, radius error, worst area, worst compactness, worst concave points, worst concavity, worst perimeter, worst radius",15,15,15,True,1.0,,
11,20,"area error, concave points error, mean area, mean compactness, mean concave points, mean concavity, mean perimeter, mean radius, mean texture, perimeter error, radius error, worst area, worst compactness, worst concave points, worst concavity, worst perimeter, worst radius, worst smoothness, worst symmetry, worst texture","area error, concave points error, mean area, mean compactness, mean concave points, mean concavity, mean perimeter, mean radius, mean texture, perimeter error, radius error, worst area, worst compactness, worst concave points, worst concavity, worst perimeter, worst radius, worst smoothness, worst symmetry, worst texture",20,20,20,True,1.0,,
12,5,"mean concave points, mean perimeter, worst concave points, worst perimeter, worst radius","mean concave points, worst area, worst concave points, worst perimeter, worst radius",4,5,5,False,0.6666666666666666,worst area,mean perimeter
12,10,"mean area, mean concave points, mean concavity, mean perimeter, mean radius, worst area, worst concave points, worst concavity, worst perimeter, worst radius","mean area, mean concave points, mean concavity, mean perimeter, mean radius, worst area, worst concave points, worst concavity, worst perimeter, worst radius",10,10,10,True,1.0,,
12,15,"area error, mean area, mean compactness, mean concave points, mean concavity, mean perimeter, mean radius, perimeter error, radius error, worst area, worst compactness, worst concave points, worst concavity, worst perimeter, worst radius","area error, mean area, mean compactness, mean concave points, mean concavity, mean perimeter, mean radius, perimeter error, radius error, worst area, worst compactness, worst concave points, worst concavity, worst perimeter, worst radius",15,15,15,True,1.0,,
12,20,"area error, concave points error, mean area, mean compactness, mean concave points, mean concavity, mean perimeter, mean radius, mean texture, perimeter error, radius error, worst area, worst compactness, worst concave points, worst concavity, worst perimeter, worst radius, worst smoothness, worst symmetry, worst texture","area error, concave points error, mean area, mean compactness, mean concave points, mean concavity, mean perimeter, mean radius, mean texture, perimeter error, radius error, worst area, worst compactness, worst concave points, worst concavity, worst perimeter, worst radius, worst smoothness, worst symmetry, worst texture",20,20,20,True,1.0,,
13,5,"mean concave points, mean perimeter, worst concave points, worst perimeter, worst radius","mean concave points, worst area, worst concave points, worst perimeter, worst radius",4,5,5,False,0.6666666666666666,worst area,mean perimeter
13,10,"mean area, mean concave points, mean concavity, mean perimeter, mean radius, worst area, worst concave points, worst concavity, worst perimeter, worst radius","mean area, mean concave points, mean concavity, mean perimeter, mean radius, worst area, worst concave points, worst concavity, worst perimeter, worst radius",10,10,10,True,1.0,,
13,15,"area error, mean area, mean compactness, mean concave points, mean concavity, mean perimeter, mean radius, perimeter error, radius error, worst area, worst compactness, worst concave points, worst concavity, worst perimeter, worst radius","area error, mean area, mean compactness, mean concave points, mean concavity, mean perimeter, mean radius, perimeter error, radius error, worst area, worst compactness, worst concave points, worst concavity, worst perimeter, worst radius",15,15,15,True,1.0,,
13,20,"area error, concave points error, mean area, mean compactness, mean concave points, mean concavity, mean perimeter, mean radius, mean texture, perimeter error, radius error, worst area, worst compactness, worst concave points, worst concavity, worst perimeter, worst radius, worst smoothness, worst symmetry, worst texture","area error, concave points error, mean area, mean compactness, mean concave points, mean concavity, mean perimeter, mean radius, mean texture, perimeter error, radius error, worst area, worst compactness, worst concave points, worst concavity, worst perimeter, worst radius, worst smoothness, worst symmetry, worst texture",20,20,20,True,1.0,,
14,5,"mean concave points, mean perimeter, worst concave points, worst perimeter, worst radius","mean concave points, worst area, worst concave points, worst perimeter, worst radius",4,5,5,False,0.6666666666666666,worst area,mean perimeter
14,10,"mean area, mean concave points, mean concavity, mean perimeter, mean radius, worst area, worst concave points, worst concavity, worst perimeter, worst radius","mean area, mean concave points, mean concavity, mean perimeter, mean radius, worst area, worst concave points, worst concavity, worst perimeter, worst radius",10,10,10,True,1.0,,
14,15,"area error, mean area, mean compactness, mean concave points, mean concavity, mean perimeter, mean radius, perimeter error, radius error, worst area, worst compactness, worst concave points, worst concavity, worst perimeter, worst radius","area error, mean area, mean compactness, mean concave points, mean concavity, mean perimeter, mean radius, perimeter error, radius error, worst area, worst compactness, worst concave points, worst concavity, worst perimeter, worst radius",15,15,15,True,1.0,,
14,20,"area error, concave points error, mean area, mean compactness, mean concave points, mean concavity, mean perimeter, mean radius, mean texture, perimeter error, radius error, worst area, worst compactness, worst concave points, worst concavity, worst perimeter, worst radius, worst smoothness, worst symmetry, worst texture","area error, concave points error, mean area, mean compactness, mean concave points, mean concavity, mean perimeter, mean radius, mean texture, perimeter error, radius error, worst area, worst compactness, worst concave points, worst concavity, worst perimeter, worst radius, worst smoothness, worst symmetry, worst texture",20,20,20,True,1.0,,
15,5,"mean concave points, mean perimeter, worst concave points, worst perimeter, worst radius","mean concave points, worst area, worst concave points, worst perimeter, worst radius",4,5,5,False,0.6666666666666666,worst area,mean perimeter
15,10,"mean area, mean concave points, mean concavity, mean perimeter, mean radius, worst area, worst concave points, worst concavity, worst perimeter, worst radius","mean area, mean concave points, mean concavity, mean perimeter, mean radius, worst area, worst concave points, worst concavity, worst perimeter, worst radius",10,10,10,True,1.0,,
15,15,"area error, mean area, mean compactness, mean concave points, mean concavity, mean perimeter, mean radius, perimeter error, radius error, worst area, worst compactness, worst concave points, worst concavity, worst perimeter, worst radius","area error, mean area, mean compactness, mean concave points, mean concavity, mean perimeter, mean radius, perimeter error, radius error, worst area, worst compactness, worst concave points, worst concavity, worst perimeter, worst radius",15,15,15,True,1.0,,
15,20,"area error, concave points error, mean area, mean compactness, mean concave points, mean concavity, mean perimeter, mean radius, mean texture, perimeter error, radius error, worst area, worst compactness, worst concave points, worst concavity, worst perimeter, worst radius, worst smoothness, worst symmetry, worst texture","area error, concave points error, mean area, mean compactness, mean concave points, mean concavity, mean perimeter, mean radius, mean texture, perimeter error, radius error, worst area, worst compactness, worst concave points, worst concavity, worst perimeter, worst radius, worst smoothness, worst symmetry, worst texture",20,20,20,True,1.0,,
16,5,"mean concave points, mean perimeter, worst concave points, worst perimeter, worst radius","mean concave points, worst area, worst concave points, worst perimeter, worst radius",4,5,5,False,0.6666666666666666,worst area,mean perimeter
16,10,"mean area, mean concave points, mean concavity, mean perimeter, mean radius, worst area, worst concave points, worst concavity, worst perimeter, worst radius","mean area, mean concave points, mean concavity, mean perimeter, mean radius, worst area, worst concave points, worst concavity, worst perimeter, worst radius",10,10,10,True,1.0,,
16,15,"area error, mean area, mean compactness, mean concave points, mean concavity, mean perimeter, mean radius, perimeter error, radius error, worst area, worst compactness, worst concave points, worst concavity, worst perimeter, worst radius","area error, mean area, mean compactness, mean concave points, mean concavity, mean perimeter, mean radius, perimeter error, radius error, worst area, worst compactness, worst concave points, worst concavity, worst perimeter, worst radius",15,15,15,True,1.0,,
16,20,"area error, concave points error, mean area, mean compactness, mean concave points, mean concavity, mean perimeter, mean radius, mean texture, perimeter error, radius error, worst area, worst compactness, worst concave points, worst concavity, worst perimeter, worst radius, worst smoothness, worst symmetry, worst texture","area error, concave points error, mean area, mean compactness, mean concave points, mean concavity, mean perimeter, mean radius, mean texture, perimeter error, radius error, worst area, worst compactness, worst concave points, worst concavity, worst perimeter, worst radius, worst smoothness, worst symmetry, worst texture",20,20,20,True,1.0,,
17,5,"mean concave points, mean perimeter, worst concave points, worst perimeter, worst radius","mean concave points, worst area, worst concave points, worst perimeter, worst radius",4,5,5,False,0.6666666666666666,worst area,mean perimeter
17,10,"mean area, mean concave points, mean concavity, mean perimeter, mean radius, worst area, worst concave points, worst concavity, worst perimeter, worst radius","mean area, mean concave points, mean concavity, mean perimeter, mean radius, worst area, worst concave points, worst concavity, worst perimeter, worst radius",10,10,10,True,1.0,,
17,15,"area error, mean area, mean compactness, mean concave points, mean concavity, mean perimeter, mean radius, perimeter error, radius error, worst area, worst compactness, worst concave points, worst concavity, worst perimeter, worst radius","area error, mean area, mean compactness, mean concave points, mean concavity, mean perimeter, mean radius, perimeter error, radius error, worst area, worst compactness, worst concave points, worst concavity, worst perimeter, worst radius",15,15,15,True,1.0,,
17,20,"area error, concave points error, mean area, mean compactness, mean concave points, mean concavity, mean perimeter, mean radius, mean texture, perimeter error, radius error, worst area, worst compactness, worst concave points, worst concavity, worst perimeter, worst radius, worst smoothness, worst symmetry, worst texture","area error, concave points error, mean area, mean compactness, mean concave points, mean concavity, mean perimeter, mean radius, mean texture, perimeter error, radius error, worst area, worst compactness, worst concave points, worst concavity, worst perimeter, worst radius, worst smoothness, worst symmetry, worst texture",20,20,20,True,1.0,,
18,5,"mean concave points, mean perimeter, worst concave points, worst perimeter, worst radius","mean concave points, worst area, worst concave points, worst perimeter, worst radius",4,5,5,False,0.6666666666666666,worst area,mean perimeter
18,10,"mean area, mean concave points, mean concavity, mean perimeter, mean radius, worst area, worst concave points, worst concavity, worst perimeter, worst radius","mean area, mean concave points, mean concavity, mean perimeter, mean radius, worst area, worst concave points, worst concavity, worst perimeter, worst radius",10,10,10,True,1.0,,
18,15,"area error, mean area, mean compactness, mean concave points, mean concavity, mean perimeter, mean radius, perimeter error, radius error, worst area, worst compactness, worst concave points, worst concavity, worst perimeter, worst radius","area error, mean area, mean compactness, mean concave points, mean concavity, mean perimeter, mean radius, perimeter error, radius error, worst area, worst compactness, worst concave points, worst concavity, worst perimeter, worst radius",15,15,15,True,1.0,,
18,20,"area error, concave points error, mean area, mean compactness, mean concave points, mean concavity, mean perimeter, mean radius, mean smoothness, perimeter error, radius error, worst area, worst compactness, worst concave points, worst concavity, worst perimeter, worst radius, worst smoothness, worst symmetry, worst texture","area error, concave points error, mean area, mean compactness, mean concave points, mean concavity, mean perimeter, mean radius, mean texture, perimeter error, radius error, worst area, worst compactness, worst concave points, worst concavity, worst perimeter, worst radius, worst smoothness, worst symmetry, worst texture",19,20,20,False,0.9047619047619048,mean texture,mean smoothness
19,5,"mean concave points, mean perimeter, worst concave points, worst perimeter, worst radius","mean concave points, worst area, worst concave points, worst perimeter, worst radius",4,5,5,False,0.6666666666666666,worst area,mean perimeter
19,10,"mean area, mean concave points, mean concavity, mean perimeter, mean radius, worst area, worst concave points, worst concavity, worst perimeter, worst radius","mean area, mean concave points, mean concavity, mean perimeter, mean radius, worst area, worst concave points, worst concavity, worst perimeter, worst radius",10,10,10,True,1.0,,
19,15,"area error, mean area, mean compactness, mean concave points, mean concavity, mean perimeter, mean radius, perimeter error, radius error, worst area, worst compactness, worst concave points, worst concavity, worst perimeter, worst radius","area error, mean area, mean compactness, mean concave points, mean concavity, mean perimeter, mean radius, perimeter error, radius error, worst area, worst compactness, worst concave points, worst concavity, worst perimeter, worst radius",15,15,15,True,1.0,,
19,20,"area error, concave points error, mean area, mean compactness, mean concave points, mean concavity, mean perimeter, mean radius, mean texture, perimeter error, radius error, worst area, worst compactness, worst concave points, worst concavity, worst perimeter, worst radius, worst smoothness, worst symmetry, worst texture","area error, concave points error, mean area, mean compactness, mean concave points, mean concavity, mean perimeter, mean radius, mean texture, perimeter error, radius error, worst area, worst compactness, worst concave points, worst concavity, worst perimeter, worst radius, worst smoothness, worst symmetry, worst texture",20,20,20,True,1.0,,
20,5,"mean concave points, mean perimeter, worst concave points, worst perimeter, worst radius","mean concave points, worst area, worst concave points, worst perimeter, worst radius",4,5,5,False,0.6666666666666666,worst area,mean perimeter
20,10,"mean area, mean concave points, mean concavity, mean perimeter, mean radius, worst area, worst concave points, worst concavity, worst perimeter, worst radius","mean area, mean concave points, mean concavity, mean perimeter, mean radius, worst area, worst concave points, worst concavity, worst perimeter, worst radius",10,10,10,True,1.0,,
20,15,"area error, mean area, mean compactness, mean concave points, mean concavity, mean perimeter, mean radius, perimeter error, radius error, worst area, worst compactness, worst concave points, worst concavity, worst perimeter, worst radius","area error, mean area, mean compactness, mean concave points, mean concavity, mean perimeter, mean radius, perimeter error, radius error, worst area, worst compactness, worst concave points, worst concavity, worst perimeter, worst radius",15,15,15,True,1.0,,
20,20,"area error, concave points error, mean area, mean compactness, mean concave points, mean concavity, mean perimeter, mean radius, mean texture, perimeter error, radius error, worst area, worst compactness, worst concave points, worst concavity, worst perimeter, worst radius, worst smoothness, worst symmetry, worst texture","area error, concave points error, mean area, mean compactness, mean concave points, mean concavity, mean perimeter, mean radius, mean texture, perimeter error, radius error, worst area, worst compactness, worst concave points, worst concavity, worst perimeter, worst radius, worst smoothness, worst symmetry, worst texture",20,20,20,True,1.0,,
21,5,"mean concave points, mean perimeter, worst concave points, worst perimeter, worst radius","mean concave points, worst area, worst concave points, worst perimeter, worst radius",4,5,5,False,0.6666666666666666,worst area,mean perimeter
21,10,"mean area, mean concave points, mean concavity, mean perimeter, mean radius, worst area, worst concave points, worst concavity, worst perimeter, worst radius","mean area, mean concave points, mean concavity, mean perimeter, mean radius, worst area, worst concave points, worst concavity, worst perimeter, worst radius",10,10,10,True,1.0,,
21,15,"area error, mean area, mean compactness, mean concave points, mean concavity, mean perimeter, mean radius, perimeter error, radius error, worst area, worst compactness, worst concave points, worst concavity, worst perimeter, worst radius","area error, mean area, mean compactness, mean concave points, mean concavity, mean perimeter, mean radius, perimeter error, radius error, worst area, worst compactness, worst concave points, worst concavity, worst perimeter, worst radius",15,15,15,True,1.0,,
21,20,"area error, concave points error, mean area, mean compactness, mean concave points, mean concavity, mean perimeter, mean radius, mean texture, perimeter error, radius error, worst area, worst compactness, worst concave points, worst concavity, worst perimeter, worst radius, worst smoothness, worst symmetry, worst texture","area error, concave points error, mean area, mean compactness, mean concave points, mean concavity, mean perimeter, mean radius, mean texture, perimeter error, radius error, worst area, worst compactness, worst concave points, worst concavity, worst perimeter, worst radius, worst smoothness, worst symmetry, worst texture",20,20,20,True,1.0,,
22,5,"mean concave points, mean perimeter, worst concave points, worst perimeter, worst radius","mean concave points, worst area, worst concave points, worst perimeter, worst radius",4,5,5,False,0.6666666666666666,worst area,mean perimeter
22,10,"mean area, mean concave points, mean concavity, mean perimeter, mean radius, worst area, worst concave points, worst concavity, worst perimeter, worst radius","mean area, mean concave points, mean concavity, mean perimeter, mean radius, worst area, worst concave points, worst concavity, worst perimeter, worst radius",10,10,10,True,1.0,,
